Scene no.,oil_spill_size,evaporation_and_natural_disperson,persistence,oil_amount_to_recover,E_ss,E_sl,E_sw,E_sb,sufficient_mixing_energy,seasurface,seawater,Rtime_ss,Rtime_sw,E_ssC,E_slC,E_swC,E_sbC,soot_pollution,residue_recovery,displacement,E_ssI,E_slI,E_swI,E_sbI,water_temp,wind,air_temp,ice,oil_density,oil_viscosity,oil_amount_to_recover.1,displacement.1,retaining_capacity,shoreline_length,distance_to_inhabitation,mcr_DT_output,cdu_DT_output,isb_DT_output
Scene 1740,LARGE,97,1,0.332906634,0,0,1,-1,yes,Large,Large,Short,Short,0,0,-1,-1,NO soot pollution,yes,yes,0,0,0,1,1,96,-9,58,10,11,0.332906634,yes,1,1.552721556,467,OK ,Not recommended ,OK 
Scene 1741,LARGE,75,0,1.635984898,0,-1,0,0,yes,Large,Large,Short,Short,0,-1,0,0,YES soot pollution,yes,yes,0,1,0,0,-39,83,-48,94,33,6,1.635984898,yes,0,3.692412261,423,OK ,OK ,OK 
Scene 1742,MEDIUM,73,0,1.490226507,-1,0,0,0,no,Large,Large,Short,Short,1,0,0,0,YES soot pollution,yes,yes,-1,0,0,0,-11,32,-13,37,5,12,1.490226507,yes,0,1.480720724,77,Unknown,Not recommended ,OK 
Scene 1743,SMALL,13,1,1.193444014,0,0,0,-1,no,Large,Large,Short,Short,0,0,1,-1,NO soot pollution,yes,yes,0,0,1,-1,-24,49,-29,90,26,10,1.193444014,yes,1,1.883384448,300,Consider ,Not recommended ,OK 
Scene 1744,LARGE,52,1,1.994653106,0,0,-1,0,yes,Large,Large,Short,Short,0,0,-1,1,YES soot pollution,yes,yes,0,0,0,-1,-29,35,-24,64,18,18,1.994653106,yes,1,3.495787385,362,OK ,Not recommended ,OK 
Scene 1745,LARGE,10,0,0.560428858,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,no,no,0,0,0,0,-28,13,-29,89,3,13,0.560428858,no,0,3.664563036,322,OK ,OK ,Consider 
Scene 1746,LARGE,16,0,0.38304612,0,1,0,0,yes,Large,Large,Short,Short,0,-1,0,0,YES soot pollution,yes,yes,0,-1,0,0,-12,20,-16,34,8,2,0.38304612,yes,0,4.614890389,161,OK ,OK ,OK 
Scene 1747,MEDIUM,10,0,0.479089379,0,0,0,0,no,Large,Large,Short,Short,-1,0,-1,0,YES soot pollution,yes,yes,0,0,-1,1,-7,57,-24,10,9,21,0.479089379,yes,0,1.389985742,489,OK ,Not recommended ,OK 
Scene 1748,LARGE,39,1,1.691791654,-1,0,1,0,yes,Large,Large,Short,Short,0,0,-1,-1,NO soot pollution,yes,no,-1,0,1,-1,-29,84,-1,51,32,18,1.691791654,no,1,2.686842449,25,OK ,Not recommended ,OK 
Scene 1749,SMALL,90,1,0.756293356,-1,0,0,0,no,Large,Large,Short,Short,0,0,-1,1,YES soot pollution,no,no,1,0,0,0,-50,49,-7,4,17,13,0.756293356,no,1,4.833564399,479,Unknown,Not recommended ,Consider 
Scene 1750,MEDIUM,42,0,1.734527588,0,0,0,-1,yes,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,no,no,0,0,0,-1,-8,25,-13,89,46,6,1.734527588,no,0,1.283279231,127,OK ,Not recommended ,OK 
Scene 1751,SMALL,27,1,0.635167658,0,0,0,1,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,no,yes,0,0,0,1,-19,93,-35,47,47,7,0.635167658,yes,1,4.656307214,424,Consider ,OK ,OK 
Scene 1752,SMALL,37,1,0.207613349,0,1,0,-1,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,yes,0,1,0,-1,-23,70,-18,12,31,14,0.207613349,yes,1,3.654886355,14,Unknown,Not recommended ,OK 
Scene 1753,SMALL,32,0,0.195454568,0,-1,0,-1,no,Large,Large,Short,Short,0,1,0,0,YES soot pollution,no,yes,0,1,0,-1,-29,36,-41,7,10,5,0.195454568,yes,0,2.625510436,385,Unknown,Not recommended ,OK 
Scene 1754,MEDIUM,70,1,1.701918364,0,0,-1,-1,yes,Large,Small,Short,Short,0,0,0,-1,NO soot pollution,no,yes,0,-1,-1,0,-29,26,-7,90,0,15,1.701918364,yes,1,1.851311628,180,Unknown,Not recommended ,OK 
Scene 1755,MEDIUM,20,0,1.586733222,0,0,0,0,yes,Large,Large,Short,Short,0,1,0,0,NO soot pollution,yes,yes,0,1,0,0,-12,20,-40,17,39,20,1.586733222,yes,0,2.727038225,443,OK ,OK ,OK 
Scene 1756,SMALL,30,0,1.267013669,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,0,0,0,0,62,-19,0,24,13,1.267013669,no,0,1.68949653,115,Go to next season ,OK ,OK 
Scene 1757,SMALL,91,1,1.753727674,0,-1,0,-1,no,Large,Large,Short,Short,0,0,-1,1,NO soot pollution,yes,no,0,-1,-1,1,-27,70,-48,89,26,19,1.753727674,no,1,3.948543376,495,Unknown,Not recommended ,OK 
Scene 1758,MEDIUM,38,1,1.334211826,0,0,0,1,yes,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,no,yes,0,0,0,1,0,62,-25,88,15,19,1.334211826,yes,1,4.926641209,446,OK ,Not recommended ,OK 
Scene 1759,MEDIUM,14,1,0.639129221,0,0,-1,-1,yes,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,yes,yes,0,0,-1,1,-34,43,-22,83,3,9,0.639129221,yes,1,1.988124555,154,OK ,Not recommended ,OK 
Scene 1760,MEDIUM,30,1,1.871431947,0,0,-1,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,yes,0,0,1,1,-2,75,-42,60,12,9,1.871431947,yes,1,1.826077746,205,OK ,Not recommended ,OK 
Scene 1761,MEDIUM,31,0,0.117972448,0,0,0,0,no,Large,Large,Short,Short,-1,0,-1,0,YES soot pollution,no,yes,-1,0,0,0,-20,70,-2,88,30,2,0.117972448,yes,0,1.112694945,272,OK ,Not recommended ,OK 
Scene 1762,MEDIUM,29,0,0.694733381,-1,0,1,0,no,Large,Large,Short,Short,1,0,0,0,YES soot pollution,no,no,1,0,-1,0,-41,13,-2,65,42,11,0.694733381,no,0,3.818339773,483,OK ,Not recommended ,Consider 
Scene 1763,SMALL,71,0,1.679344416,0,-1,-1,0,no,Large,Large,Short,Short,0,1,-1,0,NO soot pollution,yes,yes,0,1,-1,0,-31,63,-9,91,38,9,1.679344416,yes,0,4.787396447,174,Unknown,Not recommended ,OK 
Scene 1764,SMALL,58,0,0.609697342,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,0,1,0,-1,87,-44,52,49,8,0.609697342,no,0,1.982931417,106,Consider ,Not recommended ,OK 
Scene 1765,MEDIUM,91,1,1.900332212,0,0,0,-1,yes,Large,Large,Short,Short,0,0,-1,0,YES soot pollution,yes,yes,0,0,1,-1,-19,23,-17,72,35,3,1.900332212,yes,1,3.647197989,159,Consider ,Not recommended ,OK 
Scene 1766,SMALL,24,0,0.424150437,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,no,0,0,-1,0,-14,76,-27,64,34,19,0.424150437,no,0,4.888951401,364,Consider ,Not recommended ,Consider 
Scene 1767,MEDIUM,91,1,0.877020597,0,0,0,-1,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,yes,0,0,0,0,-26,31,-24,2,18,14,0.877020597,yes,1,4.178781011,385,Consider ,Not recommended ,OK 
Scene 1768,MEDIUM,31,0,1.082078815,0,0,-1,0,no,Large,Large,Short,Short,0,1,1,0,NO soot pollution,no,no,0,-1,-1,0,-26,93,-10,14,6,10,1.082078815,no,0,1.554200053,486,OK ,Not recommended ,OK 
Scene 1769,SMALL,56,0,0.863398492,0,0,0,-1,yes,Large,Large,Short,Short,-1,0,0,1,NO soot pollution,no,yes,0,0,0,1,-1,73,-20,77,19,20,0.863398492,yes,0,3.780493731,461,Consider ,Unknown,OK 
Scene 1770,SMALL,36,0,1.116516948,0,0,-1,0,no,Large,Large,Short,Short,1,0,-1,0,NO soot pollution,no,no,0,0,1,0,-43,38,1,22,4,18,1.116516948,no,0,3.800581764,481,Unknown,Not recommended ,OK 
Scene 1771,SMALL,15,0,0.865460277,0,0,0,0,yes,Large,Large,Short,Short,1,0,0,0,YES soot pollution,yes,yes,0,0,0,0,-22,84,-16,6,21,11,0.865460277,yes,0,3.318823472,482,Consider ,OK ,OK 
Scene 1772,SMALL,91,0,1.635202646,0,-1,0,0,yes,Large,Large,Short,Short,0,-1,0,0,YES soot pollution,yes,yes,0,-1,0,0,-44,73,-24,19,20,7,1.635202646,yes,0,2.048648446,271,Unknown,OK ,OK 
Scene 1773,LARGE,95,0,1.254184604,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,yes,0,0,0,0,-42,39,-8,21,10,4,1.254184604,yes,0,4.631639927,280,OK ,OK ,OK 
Scene 1774,MEDIUM,94,0,1.700647116,1,0,0,0,no,Large,Large,Short,Short,1,0,0,1,NO soot pollution,no,no,1,0,0,0,-12,52,-10,3,41,19,1.700647116,no,0,3.805543463,149,Unknown,Not recommended ,OK 
Scene 1775,LARGE,59,1,0.747503638,0,0,0,1,yes,Large,Large,Short,Short,0,1,0,0,NO soot pollution,no,yes,0,-1,0,1,-9,43,-2,31,19,10,0.747503638,yes,1,1.552490487,260,OK ,OK ,OK 
Scene 1776,MEDIUM,16,1,0.586805403,0,1,0,-1,no,Large,Large,Short,Short,0,-1,0,1,NO soot pollution,yes,no,0,-1,0,0,1,48,-7,20,30,18,0.586805403,no,1,3.78631984,370,OK ,Not recommended ,OK 
Scene 1777,MEDIUM,38,1,0.67928046,1,0,0,-1,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,no,-1,0,0,1,-10,98,-27,75,45,18,0.67928046,no,1,3.525821592,133,OK ,OK ,Consider 
Scene 1778,LARGE,94,1,1.918249488,0,0,0,-1,no,Large,Large,Short,Short,0,0,0,1,YES soot pollution,no,yes,0,0,0,1,-46,26,-47,4,49,15,1.918249488,yes,1,1.953511146,202,OK ,Not recommended ,OK 
Scene 1779,LARGE,54,1,0.547814488,0,0,-1,0,no,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,no,no,0,0,0,0,-30,22,-14,90,44,3,0.547814488,no,1,4.760727797,468,OK ,Not recommended ,OK 
Scene 1780,SMALL,57,0,0.66906172,-1,0,0,1,yes,Large,Large,Short,Short,-1,0,0,1,NO soot pollution,yes,no,0,0,0,-1,-21,34,-46,35,27,18,0.66906172,no,0,1.561595812,16,Unknown,Unknown,OK 
Scene 1781,MEDIUM,49,1,1.013753533,0,0,0,1,yes,Large,Large,Short,Short,-1,0,0,-1,NO soot pollution,yes,no,-1,0,0,-1,-21,24,-16,27,21,21,1.013753533,no,1,1.100905442,230,OK ,Not recommended ,OK 
Scene 1782,LARGE,43,1,0.146547034,0,0,0,0,yes,Large,Large,Short,Short,0,0,1,1,YES soot pollution,no,no,0,0,-1,-1,-4,60,-14,88,34,6,0.146547034,no,1,2.335428962,61,OK ,OK ,Consider 
Scene 1783,MEDIUM,42,0,0.698722601,1,0,1,0,yes,Large,Large,Short,Short,-1,-1,-1,0,NO soot pollution,yes,no,1,-1,1,0,-44,66,-26,13,9,6,0.698722601,no,0,1.337464638,95,OK ,Unknown,OK 
Scene 1784,MEDIUM,78,1,1.948175669,0,1,0,-1,no,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,no,yes,0,1,0,1,-27,69,-1,42,6,10,1.948175669,yes,1,3.633627927,427,Unknown,Not recommended ,OK 
Scene 1785,LARGE,78,1,1.305829048,0,0,0,1,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,no,0,0,0,0,-21,22,1,72,40,13,1.305829048,no,1,2.934566195,224,OK ,Not recommended ,Consider 
Scene 1786,SMALL,11,1,1.663375735,-1,-1,0,1,yes,Large,Large,Short,Short,0,-1,0,1,YES soot pollution,yes,yes,-1,1,0,1,-29,35,-36,50,27,5,1.663375735,yes,1,1.624265318,382,Unknown,OK ,Unknown
Scene 1787,LARGE,97,0,1.394807816,0,0,0,-1,yes,Large,Large,Short,Short,0,0,1,-1,YES soot pollution,yes,no,0,0,1,1,-14,58,-27,78,12,6,1.394807816,no,0,3.616736284,408,OK ,Not recommended ,Consider 
Scene 1788,SMALL,41,1,1.084941626,0,0,-1,-1,yes,Large,Large,Short,Short,0,0,1,-1,YES soot pollution,yes,no,0,0,0,-1,-41,97,-19,42,16,2,1.084941626,no,1,1.885454664,351,Unknown,Not recommended ,Consider 
Scene 1789,MEDIUM,73,1,1.330224752,-1,0,-1,1,yes,Large,Large,Short,Short,1,-1,-1,1,YES soot pollution,yes,no,-1,-1,1,1,-45,92,-21,52,27,11,1.330224752,no,1,4.610910188,441,Unknown,OK ,Consider 
Scene 1790,MEDIUM,55,1,0.793085098,-1,-1,1,0,yes,Large,Large,Short,Short,0,0,1,-1,NO soot pollution,no,yes,0,1,0,1,-15,14,-14,95,4,18,0.793085098,yes,1,1.169705974,146,Unknown,Not recommended ,OK 
Scene 1791,SMALL,56,0,0.682569981,-1,-1,0,0,yes,Large,Large,Short,Short,-1,1,0,1,NO soot pollution,no,yes,-1,0,-1,-1,-14,19,-20,34,4,16,0.682569981,yes,0,3.75251364,137,Unknown,Unknown,Consider 
Scene 1792,LARGE,67,1,1.84328723,0,-1,1,1,yes,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,yes,0,-1,1,-1,-7,36,-5,26,3,4,1.84328723,yes,1,1.717078819,181,OK ,Not recommended ,OK 
Scene 1793,MEDIUM,44,0,1.77989018,0,-1,-1,1,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,yes,0,1,-1,-1,0,13,-37,18,3,9,1.77989018,yes,0,2.889562044,202,OK ,Not recommended ,OK 
Scene 1794,MEDIUM,17,0,0.858370543,0,1,0,1,no,Large,Large,Short,Short,1,1,-1,-1,YES soot pollution,no,yes,-1,0,1,1,-4,48,-13,98,36,2,0.858370543,yes,0,2.30126198,283,OK ,Not recommended ,Unknown
Scene 1795,MEDIUM,81,0,1.732037067,0,1,-1,0,yes,Large,Large,Short,Short,0,1,-1,0,YES soot pollution,yes,yes,0,-1,0,0,-24,12,-35,10,45,9,1.732037067,yes,0,2.27344528,112,Unknown,OK ,OK 
Scene 1796,MEDIUM,42,0,1.554709911,-1,-1,-1,0,yes,Large,Large,Short,Short,1,0,0,0,YES soot pollution,no,no,0,1,-1,0,-35,40,-35,51,33,17,1.554709911,no,0,4.535540119,139,OK ,OK ,Consider 
Scene 1797,SMALL,55,1,1.493517399,0,-1,0,1,yes,Large,Large,Short,Short,0,0,0,1,NO soot pollution,no,yes,0,1,0,0,-30,51,-46,0,20,14,1.493517399,yes,1,4.076697832,218,Unknown,OK ,OK 
Scene 1798,LARGE,91,0,0.203603789,1,-1,-1,0,yes,Large,Large,Short,Short,-1,-1,1,-1,NO soot pollution,no,no,1,0,-1,0,-50,89,-2,20,45,3,0.203603789,no,0,4.997222152,50,OK ,Not recommended ,OK 
Scene 1799,SMALL,58,0,0.855496883,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,no,0,0,0,0,-37,10,-27,72,41,2,0.855496883,no,0,1.507214648,263,Consider ,OK ,Consider 
Scene 1800,MEDIUM,95,0,0.165089011,0,0,-1,0,yes,Large,Large,Short,Short,1,0,0,1,NO soot pollution,yes,yes,-1,0,0,-1,-9,59,-21,51,24,3,0.165089011,yes,0,1.503987735,257,Unknown,OK ,OK 
Scene 1801,LARGE,25,0,0.417021781,0,0,1,1,no,Large,Large,Short,Short,-1,0,1,1,YES soot pollution,yes,yes,0,0,-1,0,-27,49,-49,8,7,19,0.417021781,yes,0,1.175130044,477,OK ,Not recommended ,OK 
Scene 1802,SMALL,62,1,0.578066349,-1,-1,0,1,yes,Large,Large,Short,Short,-1,0,-1,-1,YES soot pollution,no,yes,-1,1,1,-1,-5,83,-7,6,47,19,0.578066349,yes,1,3.460918365,58,Unknown,Not recommended ,OK 
Scene 1803,MEDIUM,72,0,0.730445623,0,0,0,-1,yes,Large,Large,Short,Short,-1,-1,-1,-1,YES soot pollution,yes,yes,1,-1,1,-1,-6,50,-50,40,44,13,0.730445623,yes,0,3.652988164,409,Consider ,Not recommended ,OK 
Scene 1804,SMALL,50,1,1.724438429,0,1,0,1,yes,Large,Large,Short,Short,0,-1,0,1,NO soot pollution,no,no,0,0,0,1,-42,35,-39,20,46,14,1.724438429,no,1,4.575270203,348,Unknown,OK ,OK 
Scene 1805,MEDIUM,63,0,1.820388675,1,0,0,1,yes,Large,Large,Short,Short,-1,0,0,0,YES soot pollution,yes,no,0,0,0,0,-14,23,-12,40,38,14,1.820388675,no,0,2.198216282,79,Unknown,OK ,Consider 
Scene 1806,LARGE,40,1,1.71032548,0,-1,0,0,yes,Large,Large,Short,Short,0,1,0,1,YES soot pollution,yes,yes,0,0,0,0,-10,72,-33,28,25,11,1.71032548,yes,1,2.57484206,31,OK ,OK ,OK 
Scene 1807,MEDIUM,47,0,1.136319518,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,0,0,0,-40,37,-8,68,14,9,1.136319518,no,0,4.899287305,229,OK ,OK ,OK 
Scene 1808,MEDIUM,94,1,1.64516592,1,-1,1,1,yes,Large,Large,Short,Short,1,0,-1,-1,YES soot pollution,no,yes,-1,0,1,0,-45,60,-38,13,42,8,1.64516592,yes,1,4.784581312,186,Unknown,Not recommended ,Unknown
Scene 1809,MEDIUM,28,1,0.308833152,0,0,0,0,no,Large,Small,Short,Short,0,0,0,1,YES soot pollution,yes,no,0,0,0,1,-44,78,-41,92,0,3,0.308833152,no,1,4.804548072,422,OK ,Not recommended ,Consider 
Scene 1810,MEDIUM,41,0,1.908698797,-1,0,1,-1,yes,Large,Large,Short,Short,0,-1,-1,-1,YES soot pollution,no,yes,1,0,-1,1,-17,58,-47,10,26,16,1.908698797,yes,0,1.713398448,424,OK ,Not recommended ,OK 
Scene 1811,SMALL,63,1,1.209738612,0,0,0,1,yes,Large,Large,Short,Short,0,1,0,0,YES soot pollution,no,no,0,-1,0,-1,-21,62,-30,69,49,10,1.209738612,no,1,2.153461884,295,Consider ,OK ,Consider 
Scene 1812,MEDIUM,65,0,1.775485873,0,0,0,0,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,yes,no,0,0,1,0,-20,52,-24,21,18,3,1.775485873,no,0,1.13338952,314,Go to next season ,Not recommended ,Consider 
Scene 1813,LARGE,63,0,1.451142192,0,-1,0,0,no,Large,Large,Short,Short,-1,1,0,0,YES soot pollution,yes,yes,0,1,0,0,-14,78,-35,1,30,4,1.451142192,yes,0,3.507154382,244,OK ,Not recommended ,OK 
Scene 1814,MEDIUM,66,1,1.141863942,0,0,0,1,no,Large,Large,Short,Short,0,0,0,1,NO soot pollution,yes,yes,0,0,0,1,-26,85,-30,54,28,3,1.141863942,yes,1,2.570204822,47,Consider ,Not recommended ,OK 
Scene 1815,LARGE,61,1,0.112240173,1,1,1,-1,no,Large,Large,Short,Short,-1,0,-1,-1,NO soot pollution,no,yes,0,1,0,0,-4,63,-39,25,10,18,0.112240173,yes,1,1.658077693,350,OK ,Not recommended ,OK 
Scene 1816,MEDIUM,35,0,1.64479959,1,-1,0,0,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,yes,-1,-1,0,0,0,83,-18,95,28,14,1.64479959,yes,0,4.891570783,374,OK ,Not recommended ,Unknown
Scene 1817,SMALL,72,0,0.39288184,-1,0,0,0,yes,Large,Large,Short,Short,1,0,0,0,NO soot pollution,yes,yes,0,0,0,0,-44,22,-8,9,6,16,0.39288184,yes,0,2.532279141,486,Unknown,OK ,OK 
Scene 1818,MEDIUM,66,0,1.167199612,0,0,-1,0,no,Large,Large,Short,Short,0,0,0,0,YES soot pollution,no,no,0,0,1,0,-42,96,-43,58,17,3,1.167199612,no,0,3.370442737,455,Unknown,Not recommended ,Consider 
Scene 1819,MEDIUM,69,0,0.83083874,-1,-1,-1,0,yes,Large,Large,Short,Short,1,0,1,0,YES soot pollution,yes,yes,1,1,-1,0,-45,26,-8,96,17,6,0.83083874,yes,0,3.628234956,70,Unknown,OK ,OK 
Scene 1820,LARGE,68,0,0.274582297,-1,0,0,0,no,Large,Large,Short,Short,0,0,-1,0,NO soot pollution,yes,yes,0,0,1,0,-1,34,-8,60,41,13,0.274582297,yes,0,4.096775694,43,OK ,Not recommended ,OK 
Scene 1821,MEDIUM,35,0,1.547726393,-1,-1,1,1,no,Large,Large,Short,Short,0,-1,1,-1,NO soot pollution,no,yes,-1,1,-1,1,-4,61,-4,45,47,18,1.547726393,yes,0,1.54007623,461,OK ,Not recommended ,OK 
Scene 1822,MEDIUM,68,0,1.133496404,-1,-1,0,0,no,Large,Large,Short,Short,1,0,0,0,YES soot pollution,no,no,1,-1,0,0,-7,39,-11,52,14,16,1.133496404,no,0,1.157388892,320,Unknown,Not recommended ,Consider 
Scene 1823,SMALL,30,1,1.455037713,0,0,0,1,yes,Large,Large,Short,Short,1,0,0,-1,NO soot pollution,no,no,-1,0,0,0,-23,30,-45,61,13,4,1.455037713,no,1,1.596578025,223,Consider ,Not recommended ,OK 
Scene 1824,SMALL,94,1,0.186629087,-1,0,0,-1,yes,Large,Large,Short,Short,1,0,1,-1,NO soot pollution,yes,no,1,0,-1,0,-21,99,-35,64,5,19,0.186629087,no,1,2.509437137,65,Unknown,Not recommended ,OK 
Scene 1825,LARGE,75,0,1.484063506,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,yes,0,0,0,0,1,39,-8,63,21,2,1.484063506,yes,0,1.315810291,314,OK ,Not recommended ,OK 
Scene 1826,LARGE,50,1,0.124886192,0,0,0,0,no,Large,Large,Short,Short,0,-1,0,-1,YES soot pollution,yes,no,0,1,0,0,-27,98,-6,50,14,9,0.124886192,no,1,3.900028474,249,OK ,Not recommended ,Consider 
Scene 1827,MEDIUM,82,0,1.066585898,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,yes,0,0,0,1,-45,58,-36,11,39,21,1.066585898,yes,0,4.786340377,232,Go to next season ,Not recommended ,OK 
Scene 1828,SMALL,54,0,0.13202174,0,0,0,-1,no,Large,Large,Short,Short,0,0,0,1,NO soot pollution,yes,yes,0,0,0,1,-19,27,-6,99,18,9,0.13202174,yes,0,3.698303467,18,Consider ,Not recommended ,OK 
Scene 1829,LARGE,66,0,0.583817065,0,0,0,0,no,Large,Large,Short,Short,0,0,0,1,NO soot pollution,yes,no,0,0,0,1,-25,65,-3,74,8,18,0.583817065,no,0,3.765653276,144,OK ,Not recommended ,OK 
Scene 1830,LARGE,48,1,1.186568499,0,0,0,0,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,yes,0,0,0,1,-4,46,-45,63,46,19,1.186568499,yes,1,1.155823703,333,OK ,Not recommended ,OK 
Scene 1831,MEDIUM,72,0,0.235044345,0,0,0,0,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,no,0,0,0,-1,-46,13,-29,95,19,2,0.235044345,no,0,1.767838223,40,Consider ,Not recommended ,Consider 
Scene 1832,SMALL,23,1,1.433825016,0,0,-1,0,yes,Large,Large,Short,Short,0,1,-1,1,NO soot pollution,no,yes,0,1,-1,1,-23,65,-30,43,23,5,1.433825016,yes,1,3.625021842,311,Unknown,OK ,OK 
Scene 1833,SMALL,99,0,0.610272527,0,0,-1,0,yes,Large,Large,Short,Short,1,0,1,-1,NO soot pollution,no,no,0,0,0,-1,-15,61,-33,50,3,2,0.610272527,no,0,3.565821008,56,Unknown,Not recommended ,OK 
Scene 1834,SMALL,45,0,1.930078268,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,yes,no,0,0,0,0,-42,20,-35,43,8,11,1.930078268,no,0,4.393756752,373,Go to next season ,Not recommended ,OK 
Scene 1835,LARGE,84,0,0.283355594,0,-1,0,1,yes,Large,Large,Short,Short,0,1,0,-1,YES soot pollution,no,no,0,1,0,1,-40,88,-30,54,47,14,0.283355594,no,0,2.804757864,122,OK ,Not recommended ,Consider 
Scene 1836,SMALL,83,0,0.113510653,-1,0,1,0,no,Large,Large,Short,Short,1,0,1,0,NO soot pollution,yes,yes,1,0,-1,0,-12,89,-14,47,3,9,0.113510653,yes,0,2.159916425,274,Unknown,Not recommended ,OK 
Scene 1837,MEDIUM,23,0,0.724937975,0,1,1,-1,no,Large,Large,Short,Short,1,0,1,1,NO soot pollution,yes,yes,1,-1,1,-1,-23,15,-15,72,24,6,0.724937975,yes,0,4.923322359,151,OK ,Not recommended ,OK 
Scene 1838,MEDIUM,87,1,0.244602799,0,1,0,0,yes,Large,Large,Short,Short,0,-1,0,-1,NO soot pollution,no,no,0,-1,0,-1,-30,18,-50,6,7,16,0.244602799,no,1,1.577121317,95,Unknown,Not recommended ,OK 
Scene 1839,LARGE,73,0,1.705114603,1,0,0,0,no,Large,Large,Short,Short,-1,0,0,0,NO soot pollution,no,yes,0,0,0,0,-48,97,-11,74,30,5,1.705114603,yes,0,2.788994664,142,OK ,Not recommended ,OK 
Scene 1840,MEDIUM,42,0,0.553377032,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,yes,0,0,0,0,-21,99,-3,82,12,13,0.553377032,yes,0,1.455802465,257,OK ,Not recommended ,OK 
Scene 1841,LARGE,79,0,1.176839232,0,1,1,0,no,Large,Large,Short,Short,0,-1,-1,0,NO soot pollution,no,yes,0,-1,0,0,-16,42,-29,32,27,16,1.176839232,yes,0,4.802935714,27,OK ,Not recommended ,OK 
Scene 1842,LARGE,47,0,1.103927374,0,0,0,0,yes,Large,Large,Short,Short,-1,0,0,0,YES soot pollution,no,no,0,0,0,0,-27,44,-14,62,28,18,1.103927374,no,0,3.466451883,92,OK ,OK ,Consider 
Scene 1843,SMALL,80,0,1.659595847,0,0,-1,-1,no,Large,Large,Short,Short,0,0,0,1,YES soot pollution,no,yes,0,0,-1,-1,-22,79,-41,50,30,10,1.659595847,yes,0,3.830456494,180,Unknown,Not recommended ,OK 
Scene 1844,SMALL,12,1,0.864623368,0,0,-1,1,yes,Large,Large,Short,Short,0,-1,1,0,YES soot pollution,no,no,0,-1,-1,1,-23,97,0,55,25,18,0.864623368,no,1,4.242028807,135,Unknown,OK ,Consider 
Scene 1845,SMALL,80,0,0.189737573,-1,1,0,0,no,Large,Large,Short,Short,0,-1,0,0,YES soot pollution,no,yes,0,1,0,0,-39,11,-22,70,40,8,0.189737573,yes,0,1.965046839,53,Unknown,Not recommended ,OK 
Scene 1846,SMALL,60,0,1.529786348,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,0,0,0,-7,33,-7,58,45,7,1.529786348,no,0,2.490509923,344,Go to next season ,OK ,OK 
Scene 1847,SMALL,31,0,0.404986411,-1,1,0,0,yes,Large,Large,Short,Short,1,1,0,0,YES soot pollution,yes,yes,0,1,0,0,-2,23,-28,58,41,8,0.404986411,yes,0,4.390290167,387,Unknown,OK ,OK 
Scene 1848,SMALL,48,1,1.399400592,0,0,-1,-1,yes,Large,Small,Short,Short,0,0,1,1,YES soot pollution,yes,no,0,0,-1,1,-29,28,-29,36,0,9,1.399400592,no,1,4.43006555,126,Unknown,OK ,Consider 
Scene 1849,SMALL,88,1,1.985571742,0,0,-1,-1,no,Large,Large,Short,Short,0,0,1,0,YES soot pollution,no,no,0,0,0,1,-15,78,-5,43,36,15,1.985571742,no,1,1.810502784,477,Unknown,Not recommended ,Consider 
